model,benchmark,score,model_idx,benchmark_idx
MPT-30B,ARC AI2,0.3413333333333333,109,4
MPT-30B,BBH,0.17333333333333334,109,6
MPT-30B,GSM8K,0.344,109,16
MPT-30B,MMLU,0.3053333333333333,109,22
MPT-30B,OpenBookQA,0.36000000000000004,109,23
MPT-30B,PIQA,0.6379999999999999,109,26
MPT-30B,TriviaQA,0.736,109,33
MPT-30B,Winogrande,0.41999999999999993,109,37
MPT-7B,ARC AI2,0.23466666666666666,110,4
MPT-7B,BBH,0.1413333333333333,110,6
MPT-7B,GSM8K,0.091,110,16
MPT-7B,HellaSwag,0.68533333333333335,110,18
MPT-7B,LAMBADA,0.7,110,19
MPT-7B,MMLU,0.07733333333333332,110,22
MPT-7B,OpenBookQA,0.35200000000000004,110,23
MPT-7B,PIQA,0.6120000000000001,110,26
MPT-7B,TriviaQA,0.616,110,33
MPT-7B,Winogrande,0.3720000000000001,110,37
Mistral 7B,ANLI,0.20650039674980158,102,2
Mistral 7B,ARC AI2,0.7146666666666667,102,4
Mistral 7B,BBH,0.41466666666666674,102,6
Mistral 7B,GPQA diamond,0,102,15
Mistral 7B,GSM8K,0.544,102,16
Mistral 7B,HellaSwag,0.7466666666666667,102,18
Mistral 7B,MATH level 5,0.0368202416918429,102,21
Mistral 7B,MMLU,0.5,102,22
Mistral 7B,OpenBookQA,0.7306666666666667,102,23
Mistral 7B,PIQA,0.6599999999999999,102,26
Mistral 7B,TriviaQA,0.752,102,33
Mistral 7B,Winogrande,0.506,102,37
Mistral Large,GPQA diamond,0.18350168350168353,103,15
Mistral Large,MATH level 5,0.24461858006042295,103,21
Mistral Large,MMLU,0.584,103,22
Mistral Large,OTIS Mock AIME 2024-2025,0.01944444444444444,103,25
Mistral Large 2,FrontierMath-2025-02-28-Private,0.00344827586206896,104,12
Mistral Large 2,GPQA diamond,0.35101010101010105,104,15
Mistral Large 2,Lech Mazur Writing,0.6900000000000001,104,20
Mistral Large 2,MATH level 5,0.5028323262839879,104,21
Mistral Large 2,MMLU,0.7333333333333334,104,22
Mistral Large 2,OTIS Mock AIME 2024-2025,0.08472222222222223,104,25
Mistral Large 2,SimpleBench,0.0699996279998512,104,28
Mistral Medium 3,FrontierMath-2025-02-28-Private,0.00346020761245674,105,12
Mistral Medium 3,GPQA diamond,0.4604377104377105,105,15
Mistral Medium 3,MATH level 5,0.8162764350453172,105,21
Mistral Medium 3,OTIS Mock AIME 2024-2025,0.32222222222222224,105,25
Mistral NeMo,Balrog,0.176,106,5
Mistral NeMo,GPQA diamond,0.06523569023569024,106,15
Mistral NeMo,GSM8K,0.842,106,16
Mistral NeMo,MATH level 5,0.1082892749244713,106,21
Mistral NeMo,PIQA,0.6699999999999999,106,26
Mixtral 8x22B,Cybench,0.075,107,9
Mixtral 8x22B,GPQA diamond,0.12079124579124582,107,15
Mixtral 8x22B,MATH level 5,0.24244712990936557,107,21
Mixtral 8x22B,MMLU,0.7040000000000001,107,22
Mixtral 8x22B,WeirdML,0.0317,107,36
Mixtral 8x7B,ANLI,0.3280003359998321,108,2
Mixtral 8x7B,ARC AI2,0.8306666666666667,108,4
Mixtral 8x7B,GPQA diamond,0.07449494949494946,108,15
Mixtral 8x7B,GSM8K,0.744,108,16
Mixtral 8x7B,HellaSwag,0.8226666666666667,108,18
Mixtral 8x7B,MATH level 5,0.09950906344410876,108,21
Mixtral 8x7B,MMLU,0.608,108,22
Mixtral 8x7B,OpenBookQA,0.8106666666666666,108,23
Mixtral 8x7B,PIQA,0.6719999999999999,108,26
Mixtral 8x7B,TriviaQA,0.822,108,33
Mixtral 8x7B,Winogrande,0.544,108,37
Nemotron-4 15B,ARC AI2,0.40666666666666673,111,4
Nemotron-4 15B,BBH,0.4493333333333333,111,6
Nemotron-4 15B,GSM8K,0.46,111,16
Nemotron-4 15B,HellaSwag,0.7653333333333333,111,18
Nemotron-4 15B,MMLU,0.4493333333333333,111,22
Nemotron-4 15B,PIQA,0.6479999999999999,111,26
Nemotron-4 15B,Winogrande,0.56,111,37
Phi-1.5,ARC AI2,0.25866666666666666,119,4
Phi-1.5,HellaSwag,0.3013333333333333,119,18
Phi-1.5,MMLU,0.168,119,22
Phi-1.5,OpenBookQA,0.16266666666666665,119,23
Phi-1.5,Winogrande,0.46799999999999997,119,37
Phi-2,ANLI,0.13750043124978437,120,2
Phi-2,ARC AI2,0.6786666666666666,120,4
Phi-2,BBH,0.4586666666666666,120,6
Phi-2,HellaSwag,0.38133333333333336,120,18
Phi-2,MMLU,0.4453333333333333,120,22
Phi-2,OpenBookQA,0.648,120,23
Phi-2,TriviaQA,0.452,120,33
Phi-2,Winogrande,0.09400000000000008,120,37
Phi-4,Balrog,0.116,124,5
Phi-4,GPQA diamond,0.4141414141414141,124,15
Phi-4,Lech Mazur Writing,0.626,124,20
Phi-4,MATH level 5,0.6493580060422961,124,21
Phi-4,MMLU,0.7973333333333333,124,22
Phi-4,OTIS Mock AIME 2024-2025,0.1375,124,25
Qwen Plus,FrontierMath-2025-02-28-Private,0.01724137931034482,127,12
Qwen Plus,GPQA diamond,0.3080808080808081,127,15
Qwen Plus,MATH level 5,0.6527567975830816,127,21
Qwen Plus,OTIS Mock AIME 2024-2025,0.17777777777777778,127,25
Qwen-14B,ARC AI2,0.7919999999999999,125,4
Qwen-14B,BBH,0.4000000000000001,125,6
Qwen-14B,GSM8K,0.613,125,16
Qwen-14B,LAMBADA,0.711,125,19
Qwen-14B,MMLU,0.5506666666666667,125,22
Qwen-14B,PIQA,0.5980000000000001,125,26
Qwen-7B,ARC AI2,0.6706666666666666,126,4
Qwen-7B,BBH,0.26666666666666666,126,6
Qwen-7B,GSM8K,0.517,126,16
Qwen-7B,LAMBADA,0.679,126,19
Qwen-7B,MMLU,0.26666666666666666,126,22
Qwen-7B,PIQA,0.558,126,26
Qwen2-72B,GPQA diamond,0.21043771043771042,128,15
Qwen2-72B,MATH level 5,0.39067220543806647,128,21
Qwen2-72B,MMLU,0.7653333333333333,128,22
Qwen2-72B,The Agent Company,0.011,128,32
Qwen2.5-72B,ARC AI2,0.9266666666666666,129,4
Qwen2.5-72B,BBH,0.7306666666666667,129,6
Qwen2.5-72B,Balrog,0.162,129,5
Qwen2.5-72B,GPQA diamond,0.32196969696969696,129,15
Qwen2.5-72B,GeoBench,0.62,129,14
Qwen2.5-72B,HellaSwag,0.7973333333333333,129,18
Qwen2.5-72B,MATH level 5,0.631703172205438,129,21
Qwen2.5-72B,MMLU,0.8039999999999999,129,22
Qwen2.5-72B,OSWorld,0.05,129,24
Qwen2.5-72B,OTIS Mock AIME 2024-2025,0.08055555555555556,129,25
Qwen2.5-72B,PIQA,0.6519999999999999,129,26
Qwen2.5-72B,The Agent Company,0.057,129,32
Qwen2.5-72B,TriviaQA,0.719,129,33
Qwen2.5-72B,VideoMME,0.6466666666666666,129,34
Qwen2.5-72B,Winogrande,0.6459999999999999,129,37
Qwen2.5-Coder (1.5B),ARC AI2,0.26933333333333337,130,4
Qwen2.5-Coder (1.5B),GSM8K,0.658,130,16
Qwen2.5-Coder (1.5B),HellaSwag,0.49066666666666664,130,18
Qwen2.5-Coder (1.5B),MMLU,0.38133333333333336,130,22
Qwen2.5-Coder (1.5B),Winogrande,0.21399999999999997,130,37
Qwen2.5-Coder (32B),ARC AI2,0.6066666666666666,131,4
Qwen2.5-Coder (32B),Aider polyglot,0.16399999999999998,131,1
Qwen2.5-Coder (32B),GSM8K,0.93,131,16
Qwen2.5-Coder (32B),HellaSwag,0.7733333333333333,131,18
Qwen2.5-Coder (32B),MMLU,0.7213333333333334,131,22
Qwen2.5-Coder (32B),SWE-Bench Verified (Bash Only),0.09,131,30
Qwen2.5-Coder (32B),Winogrande,0.6160000000000001,131,37
Qwen2.5-Coder (7B),ARC AI2,0.47866666666666663,132,4
Qwen2.5-Coder (7B),GSM8K,0.867,132,16
Qwen2.5-Coder (7B),HellaSwag,0.6906666666666667,132,18
Qwen2.5-Coder (7B),MMLU,0.5733333333333334,132,22
Qwen2.5-Coder (7B),Winogrande,0.45799999999999996,132,37
Qwen2.5-Max,Aider polyglot,0.218,133,1
Qwen2.5-Max,Fiction.LiveBench,0.667,133,11
Qwen2.5-Max,FrontierMath-2025-02-28-Private,0.01034482758620689,133,12
Qwen2.5-Max,GPQA diamond,0.41498316498316495,133,15
Qwen2.5-Max,Lech Mazur Writing,0.7290000000000001,133,20
Qwen2.5-Max,MATH level 5,0.6718277945619335,133,21
Qwen2.5-Max,OTIS Mock AIME 2024-2025,0.16111111111111112,133,25
Qwen3-235B-A22B,Aider polyglot,0.596,134,1
Qwen3-235B-A22B,Fiction.LiveBench,0.677,134,11
Qwen3-235B-A22B,GPQA diamond,0.6094276094276094,134,15
Qwen3-235B-A22B,Lech Mazur Writing,0.8300000000000001,134,20
Qwen3-235B-A22B,MATH level 5,0.6885699899295065,134,21
Qwen3-235B-A22B,SimpleBench,0.1719996687998675,134,28
Qwen3-235B-A22B-Thinking (Jul 2025),Chess Puzzles,0.12244897959183672,135,8
Qwen3-235B-A22B-Thinking (Jul 2025),Fiction.LiveBench,0.75,135,11
Qwen3-235B-A22B-Thinking (Jul 2025),FrontierMath-2025-02-28-Private,0.08480565371024736,135,12
Qwen3-235B-A22B-Thinking (Jul 2025),FrontierMath-Tier-4-2025-07-01-Private,0,135,13
Qwen3-235B-A22B-Thinking (Jul 2025),GPQA diamond,0.734006734006734,135,15
Qwen3-235B-A22B-Thinking (Jul 2025),Lech Mazur Writing,0.8494999999999999,135,20
Qwen3-235B-A22B-Thinking (Jul 2025),OTIS Mock AIME 2024-2025,0.8666666666666667,135,25
Qwen3-235B-A22B-Thinking (Jul 2025),SimpleQA Verified,0.501002004008016,135,29
Qwen3-235B-A22B-Thinking (Jul 2025),WeirdML,0.4104,135,36
Qwen3-Coder-480B-A35B,GSO-Bench,0.049,136,17
Qwen3-Coder-480B-A35B,SWE-Bench Verified (Bash Only),0.554,136,30
Qwen3-Coder-480B-A35B,Terminal Bench,0.254,136,31
Qwen3-Coder-480B-A35B,WeirdML,0.4117,136,36
Qwen3-Max,Chess Puzzles,0.04,137,8
Qwen3-Max,Fiction.LiveBench,0.667,137,11
Qwen3-Max,GPQA diamond,0.6346801346801346,137,15
Qwen3-Max,Lech Mazur Writing,0.8711000000000001,137,20
Qwen3-Max,MATH level 5,0.9712990936555892,137,21
Qwen3-Max,OTIS Mock AIME 2024-2025,0.7333333333333333,137,25
Qwen3-Max,SimpleQA Verified,0.6746746746746747,137,29
Stable Beluga 2,ARC AI2,0.81466666666666665,138,4
Stable Beluga 2,BBH,0.5906666666666666,138,6
Stable Beluga 2,GSM8K,0.696,138,16
Stable Beluga 2,HellaSwag,0.7879999999999999,138,18
Stable Beluga 2,LAMBADA,0.713,138,19
Stable Beluga 2,MMLU,0.5813333333333334,138,22
Stable Beluga 2,PIQA,0.6659999999999999,138,26
StarCoder 2 15B,ARC AI2,0.296,139,4
StarCoder 2 15B,GSM8K,0.577,139,16
StarCoder 2 15B,MMLU,0.5213333333333333,139,22
StarCoder 2 15B,Winogrande,0.28600000000000003,139,37
StarCoder 2 3B,ARC AI2,0.1226666666666667,140,4
StarCoder 2 3B,GSM8K,0.216,140,16
StarCoder 2 3B,MMLU,0.15466666666666665,140,22
StarCoder 2 3B,Winogrande,0.1419999999999999,140,37
StarCoder 2 7B,ARC AI2,0.18266666666666667,141,4
StarCoder 2 7B,GSM8K,0.327,141,16
StarCoder 2 7B,MMLU,0.18400000000000002,141,22
StarCoder 2 7B,Winogrande,0.1419999999999999,141,37
XGen-7B,ARC AI2,0.21599999999999997,142,4
XGen-7B,HellaSwag,0.656,142,18
XGen-7B,MMLU,0.15066666666666664,142,22
XGen-7B,OpenBookQA,0.2026666666666667,142,23
XGen-7B,PIQA,0.51,142,26
XGen-7B,Winogrande,0.29800000000000004,142,37
Yi 6B,ARC AI2,0.3373333333333333,144,4
Yi 6B,BBH,0.296,144,6
Yi 6B,GSM8K,0.449,144,16
Yi 6B,HellaSwag,0.6586666666666666,144,18
Yi 6B,MMLU,0.52,144,22
Yi 6B,Winogrande,0.42599999999999993,144,37
Yi-34B,BBH,0.6226666666666666,143,6
Yi-34B,GPQA diamond,0,143,15
Yi-34B,GSM8K,0.76,143,16
Yi-34B,MATH level 5,0.05145392749244713,143,21
Yi-34B,MMLU,0.684,143,22
gpt-oss-120b,Aider polyglot,0.418,76,1
gpt-oss-120b,Chess Puzzles,0.2,76,8
gpt-oss-120b,Fiction.LiveBench,0.444,76,11
gpt-oss-120b,GPQA diamond,0.6767676767676768,76,15
gpt-oss-120b,Lech Mazur Writing,0.7726000000000001,76,20
gpt-oss-120b,OTIS Mock AIME 2024-2025,0.8888888888888888,76,25
gpt-oss-120b,SWE-Bench Verified (Bash Only),0.26,76,30
gpt-oss-120b,SimpleBench,0.06519962607985043,76,28
gpt-oss-120b,SimpleQA Verified,0.139,76,29
gpt-oss-120b,Terminal Bench,0.187,76,31
gpt-oss-120b,WeirdML,0.4817,76,36
o1,ARC-AGI,0.307,112,3
o1,Aider polyglot,0.617,112,1
o1,CadEval,0.56,112,7
o1,Fiction.LiveBench,0.833,112,11
o1,FrontierMath-2025-02-28-Private,0.09310344827586207,112,12
o1,GPQA diamond,0.6902356902356902,112,15
o1,GeoBench,0.8,112,14
o1,Lech Mazur Writing,0.702,112,20
o1,MATH level 5,0.947129909365559,112,21
o1,OTIS Mock AIME 2024-2025,0.7333333333333333,112,25
o1,SimpleBench,0.281199712479885,112,28
o1,VPCT,0.37,112,35
o1,WeirdML,0.4382,112,36
o1-mini,ARC-AGI,0.14,113,3
o1-mini,Cybench,0.1,113,9
o1-mini,FrontierMath-2025-02-28-Private,0.01724137931034482,113,12
o1-mini,GPQA diamond,0.49831649831649827,113,15
o1-mini,Lech Mazur Writing,0.649,113,20
o1-mini,MATH level 5,0.8918051359516617,113,21
o1-mini,OTIS Mock AIME 2024-2025,0.4694444444444445,113,25
o1-mini,SimpleBench,0.017199606879842733,113,28
o1-mini,WeirdML,0.3632,113,36
o1-preview,ARC-AGI,0.18,114,3
o1-preview,Cybench,0.1,114,9
o1-preview,GPQA diamond,0.33754208754208753,114,15
o1-preview,MATH level 5,0.8164652567975831,114,21
o1-preview,OTIS Mock AIME 2024-2025,0.3111111111111111,114,25
o1-preview,SimpleBench,0.30039972015988803,114,28
o1-preview,WeirdML,0.4756,114,36
o3,ARC-AGI,0.608,115,3
o3,Aider polyglot,0.813,115,1
o3,CadEval,0.74,115,7
o3,DeepResearch Bench,0.466,115,10
o3,Fiction.LiveBench,0.889,115,11
o3,FrontierMath-2025-02-28-Private,0.18685121107266436,115,12
o3,FrontierMath-Tier-4-2025-07-01-Private,0.02083333333333333,115,13
o3,GPQA diamond,0.7575757575757577,115,15
o3,GSO-Bench,0.088,115,17
o3,GeoBench,0.74,115,14
o3,Lech Mazur Writing,0.8390000000000001,115,20
o3,MATH level 5,0.9777190332326284,115,21
o3,OSWorld,0.23,115,24
o3,OTIS Mock AIME 2024-2025,0.8388888888888889,115,25
o3,SWE-Bench Verified (Bash Only),0.584,115,30
o3,SimpleBench,0.43719977487990996,115,28
o3,SimpleQA Verified,0.53,115,29
o3,VPCT,0.52,115,35
o3,WeirdML,0.5242,115,36
o3-mini,ARC-AGI,0.345,116,3
o3-mini,Aider polyglot,0.604,116,1
o3-mini,CadEval,0.54,116,7
o3-mini,Chess Puzzles,0.17,116,8
o3-mini,Cybench,0.225,116,9
o3-mini,Fiction.LiveBench,0.5,116,11
o3-mini,FrontierMath-2025-02-28-Private,0.12413793103448276,116,12
o3-mini,FrontierMath-Tier-4-2025-07-01-Private,0.04166666666666666,116,13
o3-mini,GPQA diamond,0.6936026936026937,116,15
o3-mini,GSO-Bench,0.013,116,17
o3-mini,Lech Mazur Writing,0.617,116,20
o3-mini,MATH level 5,0.96487915407854985,116,21
o3-mini,OTIS Mock AIME 2024-2025,0.7694444444444445,116,25
o3-mini,SimpleBench,0.07359962943985178,116,28
o3-mini,WeirdML,0.437,116,36
o3-pro,ARC-AGI,0.593,117,3
o3-pro,Aider polyglot,0.8490000000000001,117,1
o3-pro,Fiction.LiveBench,0.972,117,11
o3-pro,Lech Mazur Writing,0.8628,117,20
o3-pro,WeirdML,0.5821,117,36
o4-mini,ARC-AGI,0.587,118,3
o4-mini,Aider polyglot,0.72,118,1
o4-mini,CadEval,0.62,118,7
o4-mini,Chess Puzzles,0.26,118,8
o4-mini,Fiction.LiveBench,0.778,118,11
o4-mini,FrontierMath-2025-02-28-Private,0.2482758620689655,118,12
o4-mini,FrontierMath-Tier-4-2025-07-01-Private,0.0625,118,13
o4-mini,GPQA diamond,0.728114478114478,118,15
o4-mini,GSO-Bench,0.036,118,17
o4-mini,GeoBench,0.64,118,14
o4-mini,Lech Mazur Writing,0.75,118,20
o4-mini,MATH level 5,0.978285498489426,118,21
o4-mini,OTIS Mock AIME 2024-2025,0.8166666666666667,118,25
o4-mini,SWE-Bench Verified (Bash Only),0.45,118,30
o4-mini,SimpleBench,0.2643997057598823,118,28
o4-mini,SimpleQA Verified,0.239,118,29
o4-mini,VPCT,0.575,118,35
o4-mini,WeirdML,0.5256,118,36
phi-3-medium 14B,ANLI,0.3370003314998343,121,2
phi-3-medium 14B,ARC AI2,0.888,121,4
phi-3-medium 14B,BBH,0.7519999999999999,121,6
phi-3-medium 14B,GPQA diamond,0.03451178451178453,121,15
phi-3-medium 14B,HellaSwag,0.7653333333333333,121,18
phi-3-medium 14B,MATH level 5,0.17560422960725075,121,21
phi-3-medium 14B,MMLU,0.7066666666666667,121,22
phi-3-medium 14B,OpenBookQA,0.832,121,23
phi-3-medium 14B,TriviaQA,0.739,121,33
phi-3-medium 14B,Winogrande,0.6299999999999999,121,37
phi-3-mini 3.8B,ANLI,0.29200035399982305,122,2
phi-3-mini 3.8B,ARC AI2,0.7986666666666666,122,4
phi-3-mini 3.8B,BBH,0.6226666666666666,122,6
phi-3-mini 3.8B,HellaSwag,0.6893333333333334,122,18
phi-3-mini 3.8B,MMLU,0.584,122,22
phi-3-mini 3.8B,OpenBookQA,0.84,122,23
phi-3-mini 3.8B,TriviaQA,0.64,122,33
phi-3-mini 3.8B,Winogrande,0.4159999999999999,122,37
phi-3-small 7.4B,ANLI,0.3715003142498428,123,2
phi-3-small 7.4B,ARC AI2,0.876,123,4
phi-3-small 7.4B,BBH,0.7213333333333334,123,6
phi-3-small 7.4B,HellaSwag,0.6933333333333334,123,18
phi-3-small 7.4B,MMLU,0.676,123,22
phi-3-small 7.4B,OpenBookQA,0.84,123,23
phi-3-small 7.4B,TriviaQA,0.581,123,33
phi-3-small 7.4B,Winogrande,0.6299999999999999,123,37
